"Informazioni cronologiche","La tua età anagrafica è compresa tra","Sesso","Regione di residenza","Titolo di studio","Quali sono i tuoi maggiori interessi culturali?","Attualmente sei","Quando sei fuori per lavoro, trovi del tempo libero per visitare la città che ti ospita?","Effettui, anche saltuariamente, viaggi di piacere?","Quando visiti un luogo, a cosa sei maggiormente interessato?","Quali dei seguenti beni culturali ti interessano maggiormente?","Stai visitando un edificio antico (e.g. una chiesa), a quali informazioni sei interessato? [Chi ha costruito l'edificio]","Stai visitando un edificio antico (e.g. una chiesa), a quali informazioni sei interessato? [Altre opere dello stesso autore]","Stai visitando un edificio antico (e.g. una chiesa), a quali informazioni sei interessato? [Altri edifici nel territorio con stesse caratteristiche architettoniche]","Stai visitando un edificio antico (e.g. una chiesa), a quali informazioni sei interessato? [Contesto culturale in cui è nata l’opera]","Stai visitando un edificio antico (e.g. una chiesa), a quali informazioni sei interessato? [Vicende storiche che hanno interessato il luogo]","Stai visitando un edificio antico (e.g. una chiesa), a quali informazioni sei interessato? [Storia dell’edificio e delle sue trasformazioni architettoniche]","Stai visitando un edificio antico (e.g. una chiesa), a quali informazioni sei interessato? [Opere pittoriche e scultoree presenti nell’edificio]","Stai visitando un edificio antico (e.g. una chiesa), a quali informazioni sei interessato? [Apparecchiatura costruttiva dell’edificio]","Stai visitando un edificio antico (e.g. una chiesa), a quali informazioni sei interessato? [Degrado dei materiali che compongono la fabbrica]","Stai visitando un edificio antico (e.g. una chiesa), a quali informazioni sei interessato? [Deformazioni e quadro fessurativo]","Stai visitando un edificio antico (e.g. una chiesa), a quali informazioni sei interessato? [Meccanismi di danno che hanno interessato l’edificio]","Stai visitando un edificio antico (e.g. una chiesa), a quali informazioni sei interessato? [Tecniche e materiali utilizzati nel consolidamento e nella mitigazione della vulnerabilità sismica]","Stai visitando un edificio antico (e.g. una chiesa), a quali informazioni sei interessato? [Informazioni sulla struttura dell'edificio e il terreno circostante]","Stai visitando un edificio antico (e.g. una chiesa), a quali informazioni sei interessato? [Valutazione della vulnerabilità sismica dell’edificio]","Stai visitando un edificio antico (e.g. una chiesa), a quali informazioni sei interessato? [Pericolosità sismica del sito]","Ti trovi all'interno di un edificio con sistemi di monitoraggio strutturale. A quali informazioni sei interessato? [Valori di temperatura ed umidità]","Ti trovi all'interno di un edificio con sistemi di monitoraggio strutturale. A quali informazioni sei interessato? [Valori medi di vibrazione della struttura]","Ti trovi all'interno di un edificio con sistemi di monitoraggio strutturale. A quali informazioni sei interessato? [Dati e valori accelerometrici in generale, registrati all'interno della struttura]","Ti trovi all'interno di un edificio moderno e automatizzato e all'avanguardia. A quali informazioni sei interessato? [Informazioni sulla messa in sicurezza dell'edificio]","Ti trovi all'interno di un edificio moderno e automatizzato e all'avanguardia. A quali informazioni sei interessato? [Classificazione energetica dell'edificio]","Ti trovi all'interno di un edificio moderno e automatizzato e all'avanguardia. A quali informazioni sei interessato? [Prestazioni energetiche dell'edificio]","Ti trovi all'interno di un edificio moderno e automatizzato e all'avanguardia. A quali informazioni sei interessato? [Presenza di funzioni di autmazione]","Ti trovi all'interno di un edificio moderno e automatizzato e all'avanguardia. A quali informazioni sei interessato? [Sistema centralizzato/distribuito]","Ti trovi all'interno di un edificio moderno e automatizzato e all'avanguardia. A quali informazioni sei interessato? [Impianto di condizionamento]","Ti trovi all'interno di un edificio moderno e automatizzato e all'avanguardia. A quali informazioni sei interessato? [Tipologia diffusore (e.g. A pavimento, radiatori, etc.)]","Ti trovi all'interno di un edificio moderno e automatizzato e all'avanguardia. A quali informazioni sei interessato? [Unità di trattamento aria]","Ti trovi all'interno di un edificio moderno e automatizzato e all'avanguardia. A quali informazioni sei interessato? [Funzioni di risparmio e ottimizzazione energia negli edifici]","Critiche, suggerimenti e consigli"
"2016/11/25 5:46:22 PM CET","20 - 29","F","Abruzzo","Istruzione terziaria (università o alta formazione)","Lettura;Teatro;Cinema / Cineforum;Viaggi","Studente","Visito solamente qualche luogo principale.","si","Siti naturali (e.g. parchi, riserve, aree naturali protette etc.);Beni culturali quali reperti archeologici, opere artistiche, etc.;Espressioni intangibili e patrimoni culturali che caratterizzano una comunità, come tradizioni orali, arti dello spettacolo, feste, artigianato, cucina…","Opere architettoniche;Opere pittoriche;Centri storici","1","1","1","4","4","1","2","1","1","1","1","2","1","4","4","Non mi interessa","1","3","3","3","3","4","3","2","2","Non mi interessa","2",""
"2016/11/25 5:48:59 PM CET","30 - 39","M","Abruzzo","Istruzione terziaria (università o alta formazione)","Lettura;Musica;Cinema / Cineforum;Viaggi","Lavoratore","Visito solamente qualche luogo principale.","si","Siti naturali (e.g. parchi, riserve, aree naturali protette etc.);Beni culturali quali reperti archeologici, opere artistiche, etc.","Opere architettoniche;Opere pittoriche;Reperti archeologici","5","4","4","5","5","3","3","5","3","3","3","4","2","3","3","3","5","4","3","3","3","5","5","4","4","4","4",""
